種別	配置名	項	名称	分類	寸法	比	prompt
人物図版	silverhand-3	17	シルバーハンド／砦頭のひとり	III 敵対組織	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a Nord of the northern province, ordinary build, turned in profile to the left. This is the face of a person in their forties. a plain iron helm, no visible hair, wearing a studded leather jerkin. Aspect ratio 2:3 (portrait).
主図版	vigilants	18	ステンダールの守人	III 敵対組織	174×139.2mm	5:4	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A single architectural or landscape scene, viewed from a fixed middle distance. Horizon low. The structure occupies the middle third of the height. Human figures, where present, are small and unindividuated — they establish scale, nothing more. Subject: A small stone wayside shrine with an outbuilding. Setting: a cold northern province — conifer forest, snow, stone and timber. Aspect ratio 5:4 (landscape).
人物図版	vigilants-1	18	ステンダールの守人／カルセッテ	III 敵対組織	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a human of the Imperial provinces, ordinary build, facing the viewer squarely. This is the face of a person in their fifties. a close cowl, no visible hair, wearing a heavy wool robe. Aspect ratio 2:3 (portrait).
人物図版	vigilants-2	18	ステンダールの守人／トラン	III 敵対組織	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a Nord of the northern province, broad, heavy build, turned a quarter to the left. This is the face of a person in their thirties. a close cowl, no visible hair, wearing a heavy wool robe. Aspect ratio 2:3 (portrait).
人物図版	vigilants-3	18	ステンダールの守人／ティラヌス	III 敵対組織	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a human of the Imperial provinces, ordinary build, turned in profile to the left. This is the face of a person in their thirties. a close cowl, no visible hair, wearing a heavy wool robe. Holding a hooded lantern, small, at the lower edge. Aspect ratio 2:3 (portrait).
主図版	forsworn	19	フォースウォーン	III 敵対組織	174×139.2mm	5:4	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A single architectural or landscape scene, viewed from a fixed middle distance. Horizon low. The structure occupies the middle third of the height. Human figures, where present, are small and unindividuated — they establish scale, nothing more. Subject: A camp of hide tents on high moorland, near a ring of stones. Setting: a cold northern province — conifer forest, snow, stone and timber. Aspect ratio 5:4 (landscape).
人物図版	forsworn-1	19	フォースウォーン／マドナック	III 敵対組織	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a human of the Imperial provinces, broad, heavy build, facing the viewer squarely. This is the face of a person past sixty. a horned iron helm, long hair falling past the shoulders, wearing a fur mantle over the shoulders. Holding a plain circlet crown, small, at the lower edge. Aspect ratio 2:3 (portrait).
人物図版	forsworn-2	19	フォースウォーン／ケイリー	III 敵対組織	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a human of the Imperial provinces, slight build, turned a quarter to the left. This is the face of a person in their twenties. bare-headed, a single heavy braid, wearing a fur mantle over the shoulders. Holding a bow, small, at the lower edge. Aspect ratio 2:3 (portrait).
人物図版	forsworn-3	19	フォースウォーン／ハグレイヴン	III 敵対組織	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a human of the Imperial provinces, slight build, turned in profile to the left. This is the face of a person past seventy. bare-headed, long hair falling past the shoulders, wearing a fur mantle over the shoulders. Aspect ratio 2:3 (portrait).
主図版	psijic	20	サイジック会	III 敵対組織	174×139.2mm	5:4	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A single architectural or landscape scene, viewed from a fixed middle distance. Horizon low. The structure occupies the middle third of the height. Human figures, where present, are small and unindividuated — they establish scale, nothing more. Subject: A slender tower on an island, seen across water. No human figures at all. The absence is deliberate. Setting: a cold northern province — conifer forest, snow, stone and timber. Aspect ratio 5:4 (landscape).
人物図版	psijic-1	20	サイジック会／クァラン	III 敵対組織	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a tall elf with long pointed ears, ordinary build, facing the viewer squarely. This is the face of a person in their forties. a deep cloth hood, no visible hair, wearing a heavy wool robe. Aspect ratio 2:3 (portrait).
人物図版	psijic-2	20	サイジック会／ネリエン	III 敵対組織	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a tall elf with long pointed ears, slight build, turned a quarter to the left. This is the face of a person in their forties. a deep cloth hood, no visible hair, wearing a heavy wool robe. Aspect ratio 2:3 (portrait).
人物図版	psijic-3	20	サイジック会／イアケシス	III 敵対組織	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a tall elf with long pointed ears, ordinary build, head slightly bowed. This is the face of a person past seventy. a thin metal circlet, long hair falling past the shoulders, wearing a heavy wool robe. Holding a wooden staff, small, at the lower edge. Aspect ratio 2:3 (portrait).
主図版	synod	21	サイノッド	III 敵対組織	174×139.2mm	5:4	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A single architectural or landscape scene, viewed from a fixed middle distance. Horizon low. The structure occupies the middle third of the height. Human figures, where present, are small and unindividuated — they establish scale, nothing more. Subject: The open mouth of a ruined stone hall, unsealed. Setting: a cold northern province — conifer forest, snow, stone and timber. Aspect ratio 5:4 (landscape).
人物図版	synod-1	21	サイノッド／ガヴロス・プリニウス	III 敵対組織	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a human of the Imperial provinces, ordinary build, facing the viewer squarely. This is the face of a person in their fifties. a deep cloth hood, no visible hair, wearing a heavy wool robe. Aspect ratio 2:3 (portrait).
人物図版	synod-2	21	サイノッド／パラトゥス・デキミウス	III 敵対組織	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a human of the Imperial provinces, slight build, turned a quarter to the left. This is the face of a person in their forties. bare-headed, short cropped hair, wearing a heavy wool robe. Holding a small glass phial, small, at the lower edge. Aspect ratio 2:3 (portrait).
人物図版	synod-3	21	サイノッド／使節	III 敵対組織	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a human of the Imperial provinces, ordinary build, turned in profile to the left. This is the face of a person in their forties. a deep cloth hood, no visible hair, wearing a heavy wool robe. Aspect ratio 2:3 (portrait).
主図版	whispers	22	ウィスパーズ	III 敵対組織	174×139.2mm	5:4	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A single architectural or landscape scene, viewed from a fixed middle distance. Horizon low. The structure occupies the middle third of the height. Human figures, where present, are small and unindividuated — they establish scale, nothing more. Subject: An empty stretch of forest road where a letter was found; nothing else is present. Night. The sky is worked up with dense hatching; the ground stays light. No human figures at all. The absence is deliberate. Setting: a cold northern province — conifer forest, snow, stone and timber. Aspect ratio 5:4 (landscape).
人物図版	whispers-1	22	ウィスパーズ／書簡に現れる「S」	III 敵対組織	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a human of the Imperial provinces, ordinary build, facing the viewer squarely. a deep cloth hood, no visible hair, wearing a heavy wool robe. Holding a quill pen, small, at the lower edge. Aspect ratio 2:3 (portrait).
人物図版	whispers-2	22	ウィスパーズ／尋問記録の被告	III 敵対組織	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a human of the Imperial provinces, ordinary build, head slightly bowed. This is the face of a person in their forties. a close cowl, no visible hair, wearing a heavy wool robe. Aspect ratio 2:3 (portrait).
人物図版	whispers-3	22	ウィスパーズ／密告者と目された者	III 敵対組織	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a human of the Imperial provinces, slight build, turned in profile to the left. This is the face of a person in their forties. bare-headed, short cropped hair, wearing a studded leather jerkin. Aspect ratio 2:3 (portrait).
主図版	moragtong	23	モラグ・トング	III 敵対組織	174×139.2mm	5:4	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A single architectural or landscape scene, viewed from a fixed middle distance. Horizon low. The structure occupies the middle third of the height. Human figures, where present, are small and unindividuated — they establish scale, nothing more. Subject: An underground shrine chamber with a writing desk and shelved records. Night. The sky is worked up with dense hatching; the ground stays light. Setting: a cold northern province — conifer forest, snow, stone and timber. Aspect ratio 5:4 (landscape).
人物図版	moragtong-1	23	モラグ・トング／テネル	III 敵対組織	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a tall elf with long pointed ears, ordinary build, facing the viewer squarely. This is the face of a person in their fifties. a close cowl, no visible hair, wearing a studded leather jerkin. Holding a dagger, small, at the lower edge. Aspect ratio 2:3 (portrait).
人物図版	moragtong-2	23	モラグ・トング／書記	III 敵対組織	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a tall elf with long pointed ears, slight build, head slightly bowed. This is the face of a person past sixty. a deep cloth hood, no visible hair, wearing a heavy wool robe. Aspect ratio 2:3 (portrait).
人物図版	moragtong-3	23	モラグ・トング／残存の一人	III 敵対組織	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a tall elf with long pointed ears, ordinary build, turned in profile to the left. This is the face of a person past seventy. a close cowl, no visible hair, wearing a studded leather jerkin. a scar across one cheek. Aspect ratio 2:3 (portrait).
主図版	alikr	24	アリキール	III 敵対組織	174×139.2mm	5:4	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A single architectural or landscape scene, viewed from a fixed middle distance. Horizon low. The structure occupies the middle third of the height. Human figures, where present, are small and unindividuated — they establish scale, nothing more. Subject: A mercenary camp on open ground outside a city gate, the walls behind it. Setting: a cold northern province — conifer forest, snow, stone and timber. Aspect ratio 5:4 (landscape).
人物図版	alikr-1	24	アリキール／ケマトゥ	III 敵対組織	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a human of the Imperial provinces, ordinary build, facing the viewer squarely. This is the face of a person in their forties. a deep cloth hood, no visible hair, wearing a studded leather jerkin. Holding a straight sword held upright before the chest, small, at the lower edge. Aspect ratio 2:3 (portrait).
人物図版	alikr-2	24	アリキール／隊士（追跡）	III 敵対組織	62×93mm	2:3	Copperplate engraving, line art only. Pure black ink on a plain white ground — no grey wash, no colour, no gradients. Tone is built solely from engraved hatching: parallel burin lines, cross-hatching at 54 degrees for the darker passages, a third pass at 108 degrees only for the darkest. Every line swells at its middle and tapers at both ends, as a burin cuts. No solid black areas — a copperplate has none. Light falls from the upper left in every plate. The density of the hatching is identical regardless of subject size. No lettering, no caption, no signature, no border, no frame, no vignette. Flat on the page, no paper texture, no ageing, no stains, no torn edges. A bust portrait, head and shoulders, cut off at the chest. Plain white ground behind. The face is fully drawn as a specific individual: eyes with visible irises and a defined direction of gaze, individual bone structure at the brow, nose and jaw, and a settled expression that reads as character rather than emotion. Age is rendered explicitly in the flesh — where the record notes an aged subject, the lines, hollows and slackness must be unmistakable. Subject: a human of the Imperial provinces, ordinary build, turned a quarter to the left. This is the face of a person in their thirties. a deep cloth hood, no visible hair, wearing a studded leather jerkin. Aspect ratio 2:3 (portrait).
